year,month,icen
1950,1,-0.75
1950,2,-1.07
1950,3,-1.25
1950,4,-1.18
1950,5,-1.22
1950,6,-1.05
1950,7,-0.8
1950,8,-0.67
1950,9,-0.49
1950,10,-0.77
1950,11,-0.71
1950,12,-0.53
1951,1,-0.3
1951,2,-0.23
1951,3,-0.18
1951,4,0.26
1951,5,1.09
1951,6,1.84
1951,7,2.13
1951,8,1.74
1951,9,1.32
1951,10,1.16
1951,11,1.0
1951,12,0.7
1952,1,0.41
1952,2,0.25
1952,3,-0.07
1952,4,-0.28
1952,5,-0.46
1952,6,-0.45
1952,7,-0.56
1952,8,-0.7
1952,9,-0.54
1952,10,-0.44
1952,11,-0.13
1952,12,-0.06
1953,1,0.23
1953,2,0.63
1953,3,1.25
1953,4,1.6
1953,5,1.54
1953,6,1.11
1953,7,0.79
1953,8,0.71
1953,9,0.61
1953,10,0.51
1953,11,0.22
1953,12,-0.35
1954,1,-0.75
1954,2,-1.0
1954,3,-1.42
1954,4,-1.93
1954,5,-2.23
1954,6,-2.09
1954,7,-1.7
1954,8,-1.54
1954,9,-1.31
1954,10,-1.23
1954,11,-1.13
1954,12,-0.72
1955,1,-0.65
1955,2,-0.64
1955,3,-0.79
1955,4,-1.06
1955,5,-1.16
1955,6,-1.17
1955,7,-1.01
1955,8,-0.94
1955,9,-1.11
1955,10,-1.2
1955,11,-1.26
1955,12,-1.1
1956,1,-0.93
1956,2,-0.61
1956,3,-0.51
1956,4,-0.42
1956,5,-0.41
1956,6,-0.04
1956,7,0.19
1956,8,0.08
1956,9,-0.33
1956,10,-0.54
1956,11,-0.64
1956,12,-0.83
1957,1,-0.51
1957,2,0.21
1957,3,1.18
1957,4,2.05
1957,5,2.53
1957,6,2.81
1957,7,2.38
1957,8,1.92
1957,9,1.47
1957,10,1.25
1957,11,1.16
1957,12,0.97
1958,1,0.82
1958,2,0.77
1958,3,1.01
1958,4,1.05
1958,5,0.95
1958,6,0.77
1958,7,0.56
1958,8,0.35
1958,9,0.22
1958,10,0.22
1958,11,0.19
1958,12,-0.07
1959,1,-0.15
1959,2,0.15
1959,3,0.52
1959,4,0.64
1959,5,0.38
1959,6,0.19
1959,7,-0.05
1959,8,-0.13
1959,9,-0.09
1959,10,0.28
1959,11,0.41
1959,12,0.36
1960,1,0.14
1960,2,0.15
1960,3,-0.07
1960,4,-0.2
1960,5,-0.52
1960,6,-0.55
1960,7,-0.56
1960,8,-0.27
1960,9,-0.18
1960,10,-0.05
1960,11,-0.05
1960,12,0.25
1961,1,0.59
1961,2,0.49
1961,3,0.25
1961,4,-0.14
1961,5,-0.16
1961,6,-0.38
1961,7,-0.5
1961,8,-0.61
1961,9,-0.46
1961,10,-0.29
1961,11,-0.2
1961,12,-0.12
1962,1,-0.17
1962,2,-0.6
1962,3,-1.14
1962,4,-1.34
1962,5,-1.01
1962,6,-0.63
1962,7,-0.43
1962,8,-0.28
1962,9,-0.24
1962,10,-0.27
1962,11,-0.38
1962,12,-0.3
1963,1,-0.31
1963,2,-0.21
1963,3,-0.33
1963,4,-0.18
1963,5,-0.15
1963,6,0.17
1963,7,0.36
1963,8,0.61
1963,9,0.7
1963,10,0.59
1963,11,0.48
1963,12,0.25
1964,1,-0.14
1964,2,-0.52
1964,3,-0.75
1964,4,-1.14
1964,5,-1.24
1964,6,-1.34
1964,7,-1.05
1964,8,-0.9
1964,9,-0.79
1964,10,-0.55
1964,11,-0.58
1964,12,-0.36
1965,1,-0.17
1965,2,0.26
1965,3,0.94
1965,4,1.62
1965,5,2.1
1965,6,2.03
1965,7,1.93
1965,8,1.59
1965,9,1.35
1965,10,1.04
1965,11,1.03
1965,12,1.01
1966,1,0.64
1966,2,0.02
1966,3,-0.65
1966,4,-1.0
1966,5,-1.03
1966,6,-0.93
1966,7,-0.8
1966,8,-0.6
1966,9,-0.34
1966,10,-0.26
1966,11,-0.17
1966,12,-0.32
1967,1,-0.18
1967,2,-0.3
1967,3,-0.21
1967,4,-0.27
1967,5,-0.27
1967,6,-0.4
1967,7,-0.67
1967,8,-0.95
1967,9,-1.14
1967,10,-1.24
1967,11,-1.24
1967,12,-1.21
1968,1,-1.05
1968,2,-0.95
1968,3,-1.02
1968,4,-1.2
1968,5,-1.21
1968,6,-0.89
1968,7,-0.35
1968,8,0.27
1968,9,0.51
1968,10,0.56
1968,11,0.51
1968,12,0.49
1969,1,0.3
1969,2,0.38
1969,3,0.72
1969,4,1.43
1969,5,1.64
1969,6,1.44
1969,7,0.91
1969,8,0.58
1969,9,0.7
1969,10,0.93
1969,11,1.13
1969,12,1.05
1970,1,0.77
1970,2,0.18
1970,3,-0.3
1970,4,-0.75
1970,5,-1.0
1970,6,-1.51
1970,7,-1.57
1970,8,-1.41
1970,9,-0.94
1970,10,-0.72
1970,11,-0.62
1970,12,-0.76
1971,1,-0.91
1971,2,-1.01
1971,3,-0.78
1971,4,-0.65
1971,5,-0.72
1971,6,-0.84
1971,7,-0.88
1971,8,-0.79
1971,9,-0.85
1971,10,-0.72
1971,11,-0.67
1971,12,-0.35
1972,1,0.14
1972,2,0.73
1972,3,1.04
1972,4,1.11
1972,5,1.47
1972,6,1.93
1972,7,2.45
1972,8,2.25
1972,9,2.06
1972,10,1.7
1972,11,1.94
1972,12,1.91
1973,1,1.58
1973,2,0.8
1973,3,-0.02
1973,4,-0.55
1973,5,-0.93
1973,6,-0.98
1973,7,-1.1
1973,8,-1.01
1973,9,-0.94
1973,10,-0.8
1973,11,-0.77
1973,12,-0.84
1974,1,-0.85
1974,2,-0.67
1974,3,-0.39
1974,4,-0.01
1974,5,-0.03
1974,6,-0.09
1974,7,-0.22
1974,8,-0.19
1974,9,-0.37
1974,10,-0.58
1974,11,-0.88
1974,12,-0.85
1975,1,-0.83
1975,2,-0.37
1975,3,-0.02
1975,4,0.03
1975,5,-0.37
1975,6,-0.68
1975,7,-0.72
1975,8,-0.78
1975,9,-1.1
1975,10,-1.56
1975,11,-1.69
1975,12,-1.44
1976,1,-0.84
1976,2,-0.3
1976,3,0.15
1976,4,0.63
1976,5,1.23
1976,6,1.73
1976,7,1.85
1976,8,1.62
1976,9,1.24
1976,10,0.95
1976,11,0.77
1976,12,0.66
1977,1,0.43
1977,2,0.25
1977,3,0.01
1977,4,-0.15
1977,5,-0.22
1977,6,-0.18
1977,7,-0.24
1977,8,-0.44
1977,9,-0.45
1977,10,-0.34
1977,11,-0.19
1977,12,-0.19
1978,1,-0.1
1978,2,-0.21
1978,3,-0.31
1978,4,-0.56
1978,5,-0.58
1978,6,-0.62
1978,7,-0.73
1978,8,-0.67
1978,9,-0.69
1978,10,-0.29
1978,11,0.0
1978,12,0.35
1979,1,0.25
1979,2,0.13
1979,3,0.15
1979,4,0.33
1979,5,0.54
1979,6,0.42
1979,7,0.38
1979,8,0.43
1979,9,0.65
1979,10,0.68
1979,11,0.48
1979,12,0.22
1980,1,0.11
1980,2,0.24
1980,3,0.34
1980,4,0.37
1980,5,0.22
1980,6,-0.05
1980,7,-0.13
1980,8,-0.15
1980,9,-0.05
1980,10,-0.06
1980,11,-0.13
1980,12,-0.53
1981,1,-0.74
1981,2,-0.74
1981,3,-0.48
1981,4,-0.34
1981,5,-0.38
1981,6,-0.41
1981,7,-0.55
1981,8,-0.63
1981,9,-0.56
1981,10,-0.4
1981,11,-0.24
1981,12,-0.14
1982,1,-0.17
1982,2,-0.45
1982,3,-0.62
1982,4,-0.45
1982,5,0.0
1982,6,0.45
1982,7,0.8
1982,8,1.16
1982,9,1.58
1982,10,2.26
1982,11,2.83
1982,12,3.11
1983,1,2.85
1983,2,2.63
1983,3,2.87
1983,4,3.48
1983,5,4.13
1983,6,4.32
1983,7,3.99
1983,8,3.0
1983,9,2.03
1983,10,1.13
1983,11,0.7
1983,12,0.24
1984,1,-0.11
1984,2,-0.38
1984,3,-0.32
1984,4,-0.39
1984,5,-0.43
1984,6,-0.54
1984,7,-0.38
1984,8,-0.12
1984,9,-0.1
1984,10,-0.02
1984,11,-0.18
1984,12,-0.27
1985,1,-0.61
1985,2,-0.69
1985,3,-0.87
1985,4,-1.03
1985,5,-1.18
1985,6,-1.16
1985,7,-0.97
1985,8,-0.9
1985,9,-0.77
1985,10,-0.69
1985,11,-0.53
1985,12,-0.26
1986,1,0.0
1986,2,-0.11
1986,3,-0.41
1986,4,-0.79
1986,5,-0.92
1986,6,-0.82
1986,7,-0.5
1986,8,-0.09
1986,9,0.17
1986,10,0.3
1986,11,0.42
1986,12,0.69
1987,1,0.97
1987,2,1.3
1987,3,1.48
1987,4,1.63
1987,5,1.46
1987,6,1.27
1987,7,1.0
1987,8,1.03
1987,9,1.18
1987,10,1.27
1987,11,1.1
1987,12,0.65
1988,1,0.24
1988,2,-0.2
1988,3,-0.5
1988,4,-0.84
1988,5,-1.14
1988,6,-1.33
1988,7,-1.44
1988,8,-1.33
1988,9,-1.26
1988,10,-1.11
1988,11,-0.95
1988,12,-0.63
1989,1,-0.26
1989,2,0.0
1989,3,0.05
1989,4,-0.35
1989,5,-0.68
1989,6,-0.93
1989,7,-0.67
1989,8,-0.54
1989,9,-0.42
1989,10,-0.42
1989,11,-0.36
1989,12,-0.33
1990,1,-0.23
1990,2,-0.19
1990,3,-0.22
1990,4,-0.27
1990,5,-0.24
1990,6,-0.3
1990,7,-0.4
1990,8,-0.48
1990,9,-0.49
1990,10,-0.57
1990,11,-0.6
1990,12,-0.54
1991,1,-0.4
1991,2,-0.26
1991,3,-0.19
1991,4,-0.16
1991,5,-0.03
1991,6,0.28
1991,7,0.47
1991,8,0.53
1991,9,0.51
1991,10,0.58
1991,11,0.65
1991,12,0.62
1992,1,0.67
1992,2,0.89
1992,3,1.45
1992,4,1.99
1992,5,1.86
1992,6,1.12
1992,7,0.29
1992,8,-0.01
1992,9,-0.01
1992,10,-0.04
1992,11,-0.14
1992,12,-0.11
1993,1,0.1
1993,2,0.41
1993,3,0.82
1993,4,1.11
1993,5,1.26
1993,6,1.08
1993,7,0.85
1993,8,0.6
1993,9,0.52
1993,10,0.38
1993,11,0.21
1993,12,0.03
1994,1,-0.1
1994,2,-0.36
1994,3,-0.76
1994,4,-1.0
1994,5,-0.97
1994,6,-0.83
1994,7,-0.86
1994,8,-0.63
1994,9,-0.11
1994,10,0.38
1994,11,0.67
1994,12,0.68
1995,1,0.6
1995,2,0.23
1995,3,-0.54
1995,4,-1.04
1995,5,-1.18
1995,6,-0.86
1995,7,-0.57
1995,8,-0.38
1995,9,-0.4
1995,10,-0.41
1995,11,-0.64
1995,12,-0.66
1996,1,-0.65
1996,2,-0.42
1996,3,-0.82
1996,4,-1.13
1996,5,-1.64
1996,6,-1.43
1996,7,-1.3
1996,8,-0.92
1996,9,-0.76
1996,10,-0.84
1996,11,-1.03
1996,12,-1.08
1997,1,-0.74
1997,2,-0.14
1997,3,0.48
1997,4,1.29
1997,5,2.12
1997,6,3.02
1997,7,3.57
1997,8,3.85
1997,9,3.85
1997,10,4.01
1997,11,4.08
1997,12,4.06
1998,1,3.49
1998,2,3.03
1998,3,2.76
1998,4,2.81
1998,5,2.66
1998,6,2.22
1998,7,1.58
1998,8,0.87
1998,9,0.49
1998,10,0.11
1998,11,-0.05
1998,12,-0.4
1999,1,-0.49
1999,2,-0.4
